,name,url
132,휴메딕스,https://finance.naver.com/item/main.nhn?code=200670
133,프레스티지바이오로직스,https://finance.naver.com/item/main.nhn?code=334970
134,박셀바이오,https://finance.naver.com/item/main.nhn?code=323990
135,프레스티지바이오파마,https://finance.naver.com/item/main.nhn?code=950210
136,에이치엘비제약,https://finance.naver.com/item/main.nhn?code=047920
137,한국파마,https://finance.naver.com/item/main.nhn?code=032300
138,지놈앤컴퍼니,https://finance.naver.com/item/main.nhn?code=314130
139,바이넥스,https://finance.naver.com/item/main.nhn?code=053030
140,압타바이오,https://finance.naver.com/item/main.nhn?code=293780
141,국전약품,https://finance.naver.com/item/main.nhn?code=307750
142,큐브앤컴퍼니,https://finance.naver.com/item/main.nhn?code=043090
