date,open,high,low,close,volume
202011240909,63066,63162,63066,63162,44
202011240910,63352,63352,63162,63162,25
202011240911,63257,63352,63257,63352,166
202011240912,63448,63448,63257,63257,37
202011240913,63257,63352,63257,63257,29
202011240914,63257,63257,63162,63162,53
202011240915,63162,63162,62971,62971,108
202011240916,62971,62971,62780,62780,248
202011240917,62875,62875,62875,62875,400
202011240918,62875,62875,62685,62685,221
202011240919,62685,62875,62589,62589,582
202011240920,62780,62780,62589,62589,253
202011240921,62589,62589,62303,62303,472
202011240922,62303,62494,62303,62494,486
202011240923,62494,62494,62398,62494,522
202011240925,62685,62685,62589,62589,5
202011240926,62685,62685,62685,62685,1
202011240930,62780,62971,62685,62971,747
202011240931,63066,63066,62971,62971,201
202011240932,62971,62971,62780,62780,16
202011240935,62875,62875,62780,62780,5
202011240936,62780,62780,62780,62780,35
202011240937,62780,62875,62780,62875,10
202011240938,62875,62875,62875,62875,15
202011240939,62875,62875,62780,62780,8
202011240940,62780,62780,62780,62780,33
202011240941,62780,62780,62780,62780,11
202011240942,62780,62780,62589,62589,407
202011240943,62589,62589,62494,62494,300
202011240944,62494,62494,62494,62494,50
202011240945,62494,62494,62494,62494,19
202011240946,62494,62685,62494,62685,60
202011240947,62589,62589,62589,62589,10
202011240948,62589,62685,62589,62685,21
202011240949,62685,62685,62589,62589,40
202011240950,62589,62589,62589,62589,25
202011240951,62589,62589,62494,62494,77
202011240952,62494,62589,62494,62589,57
202011240954,62589,62589,62494,62494,60
202011240955,62494,62494,62494,62494,1
202011240956,62494,62494,62494,62494,30
202011240957,62685,62685,62589,62589,14
202011240958,62494,62494,62494,62494,102
202011240959,62589,62589,62589,62589,40
202011241001,62589,62589,62589,62589,22
202011241002,62494,62494,62494,62494,158
202011241004,62494,62589,62494,62589,62
202011241005,62589,62589,62589,62589,1
202011241007,62589,62589,62589,62589,1
202011241008,62494,62494,62494,62494,21
202011241009,62589,62589,62494,62494,13
202011241010,62494,62494,62494,62494,24
202011241011,62494,62494,62494,62494,1
202011241012,62494,62494,62494,62494,9
202011241013,62494,62494,62494,62494,10
202011241014,62494,62494,62494,62494,119
202011241016,62494,62589,62494,62589,52
202011241017,62589,62589,62589,62589,117
202011241018,62685,62685,62685,62685,1
202011241019,62685,62685,62685,62685,8
202011241022,62685,62685,62685,62685,2
202011241023,62685,62685,62685,62685,52
202011241024,62685,62685,62685,62685,2
202011241025,62685,62685,62685,62685,4
202011241026,62589,62589,62589,62589,3
202011241029,62589,62589,62589,62589,10
202011241030,62685,62685,62685,62685,50
202011241031,62589,62685,62589,62685,11
202011241032,62685,62685,62685,62685,11
202011241033,62685,62685,62589,62589,6
202011241035,62589,62685,62589,62685,26
202011241036,62685,62685,62685,62685,2
202011241037,62589,62589,62589,62589,3
202011241038,62589,62685,62589,62685,6
202011241039,62685,62685,62685,62685,1
202011241040,62589,62589,62589,62589,230
202011241041,62494,62494,62494,62494,12
202011241043,62494,62494,62494,62494,136
202011241044,62494,62494,62494,62494,151
202011241048,62494,62494,62494,62494,8
202011241049,62494,62494,62494,62494,2
202011241051,62494,62494,62494,62494,150
202011241052,62494,62494,62494,62494,3
202011241056,62589,62589,62494,62494,13
202011241057,62494,62494,62494,62494,55
202011241058,62494,62494,62494,62494,50
202011241102,62494,62494,62494,62494,10
202011241103,62685,62685,62685,62685,18
202011241104,62685,62685,62685,62685,1
202011241106,62685,62685,62685,62685,2
202011241108,62685,62685,62685,62685,14
202011241110,62685,62685,62589,62589,95
202011241112,62589,62589,62589,62589,3
202011241113,62589,62589,62589,62589,20
202011241116,62589,62589,62589,62589,10
202011241120,62589,62589,62494,62494,13
202011241124,62494,62494,62494,62494,101
202011241128,62494,62494,62494,62494,50
202011241132,62494,62494,62494,62494,21
202011241133,62398,62398,62208,62208,1531
202011241134,62208,62208,62208,62208,94
202011241135,62303,62303,62303,62303,54
202011241136,62303,62303,62303,62303,30
202011241137,62494,62494,62398,62398,16
202011241138,62398,62398,62398,62398,11
202011241144,62398,62398,62398,62398,10
202011241146,62398,62398,62398,62398,5
202011241148,62398,62398,62398,62398,42
202011241149,62398,62398,62398,62398,2
202011241151,62398,62398,62398,62398,10
202011241152,62303,62303,62303,62303,124
202011241153,62303,62303,62303,62303,17
202011241154,62303,62303,62303,62303,3
202011241155,62303,62303,62303,62303,21
202011241156,62398,62398,62398,62398,50
202011241157,62303,62303,62303,62303,10
202011241159,62303,62303,62303,62303,9
202011241200,62303,62303,62303,62303,10
202011241204,62303,62303,62303,62303,10
202011241206,62303,62303,62303,62303,20
202011241207,62303,62303,62303,62303,42
202011241208,62208,62303,62208,62303,93
202011241209,62303,62303,62303,62303,1
202011241210,62303,62303,62303,62303,10
202011241211,62208,62208,62208,62208,100
202011241214,62303,62303,62303,62303,41
202011241215,62303,62303,62303,62303,1
202011241216,62303,62303,62208,62208,55
202011241218,62208,62208,62208,62208,14
